eAir MD Modbus register list;2026-01-27;;;;;;;;
Conforming to MD software versions 1.14 and later.;;;;;;;;;
;;;;;;;;;
Protocol: Modbus RTU, RS485;;;;;;;;;
Serial line default parameters: 19200 bps, 8 N 1;;;;;;;;;
Serial line speed is configurable to 9600, 19200 or 115200 bps;;;;;;;;;
Serial line parity is configurable to None or Even parity;;;;;;;;;
;;;;;;;;;
Registers marked “reserved” must not be altered!;;;;;;;;;
 ;;;;;;;;;
MODBUS HOLDING REGISTERS;;;;;;;;;
Address;Symbol;Type;Multiplier;Bounds (raw value);Name;Description;Title (en translation);Help text (en translation);Notes
hreg 0;Reserved;;;;;;;;
Registers 1 to 49 are measurements and status information (read only);;;;;;;;;
hreg 1;HREG_T_OP1;int16;10;;Room temperature sensor TE20;Temperature at operator panel 1;;Temperature at operator panel 1;
hreg 2;HREG_T_OP2;int16;10;;Room temperature sensor TE21;Temperature at operator panel 2;;Temperature at operator panel 2;
hreg 3;HREG_EFFECTIVE_TF;uint16;1;;Current supply fan speed;The current effective TF fanspeed;Fan speed, supply air;Current supply air fan speed;
hreg 4;HREG_EFFECTIVE_PF;uint16;1;;Current exhaust fan speed;The current effective PF fanspeed;Fan speed, extract air;Current extract air fan speed;
hreg 5;HREG_UPCOMING_TIME_PROGRAM;uint16;1;;Next time program;Indicates the time program which will start during the next two hours.;;;Values 1-20 indicate week program slots, value 101-105 indicate year program slots
hreg 6;HREG_T_FRS;int16;10;;Fresh air;TE01 (fresh air) temperature.;Fresh air;Outside air temperature at the unit (sensor TE01);
hreg 7;HREG_T_SPLY_LTO;int16;10;;Supply air after HRC;TE05: Fresh (incoming) air temperature after HRC.;Supply air after HRC;Supply air temperature after heat recovery (sensor TE05);
hreg 8;HREG_T_SPLY;int16;10;;Supply air;TE10 Room supply air temperature;Supply air;Supply air temperature after supply air heater (sensor TE10);
hreg 9;HREG_T_WST;int16;10;;Waste air;TE32 Waste air temperature;Exhaust air;Exhaust air temperature (sensor TE32);
hreg 10;HREG_T_EXT;int16;10;;Room removed air;TE30 Room removed air temperature.;Extract air temperature;Extract air temperature from building at the unit (sensor TE30);
hreg 11;HREG_T_EXT_LTO;int16;10;;Removed air before HRC;TE31 removed air before heat recycler.;Extract air before HRC;Extract air temperature after extract air coil before heat recovery in HP units (sensor TE31);
hreg 12;HREG_T_WR;int16;10;;Return water;TE45 heater element return water temperature.;Return water;Return water temperature in supply air heater (sensor TE45);
hreg 13;HREG_HUM_EXT;uint16;1;;Exhaust air humidity;RH30 measurement, removed air relative humidity;Air humidity;Extract air relative humidity \%RH at the unit (sensor RH30);
hreg 14;HREG_PRES_SPLYF;uint16;1;;Pressure difference supply;Pressure difference over filter, TF side;Pressure difference supply;Pressure difference over filter, TF side;
hreg 15;HREG_PRES_EXTF;uint16;1;;Pressure difference ext;Pressure difference over filter, PF side;Pressure difference ext.;Pressure difference over filter, PF side;
hreg 16;HREG_TE07;int16;10;;HP/MDX/Dehum supply air;Supply air temperature after dehumidification coil, or after heat pump coil in HP-E, HP-W, MDX-E and MDX-W units (sensor TE07);;;
hreg 17;HREG_AI1;uint16;10;;Analog input voltage;Raw conversion result for AI1;Measured input voltage;Current measured input voltage;
hreg 18;HREG_AI2;uint16;10;;Analog input voltage;Raw conversion result for AI2;Measured input voltage;Current measured input voltage;
hreg 19;HREG_AI3;uint16;10;;Analog input voltage;Raw conversion result for AI3;Measured input voltage;Current measured input voltage;
hreg 20;HREG_AI4;uint16;10;;Analog input voltage;Raw conversion result for AI4;Measured input voltage;Current measured input voltage;
hreg 21;HREG_AI5;uint16;10;;Analog input voltage;Raw conversion result for AI5;Measured input voltage;Current measured input voltage;
hreg 22;HREG_AI6;uint16;10;;Analog input voltage;Raw conversion result for AI6;Measured input voltage;Current measured input voltage;
hreg 23;HREG_AI1_RES;uint16;1;;Calculated value;Calculated result for AI1;Calculated value;Calculated result;
hreg 24;HREG_AI2_RES;uint16;1;;Calculated value;Calculated result for AI2;Calculated value;Calculated result;
hreg 25;HREG_AI3_RES;uint16;1;;Calculated value;Calculated result for AI3;Calculated value;Calculated result;
hreg 26;HREG_AI4_RES;uint16;1;;Calculated value;Calculated result for AI4;Calculated value;Calculated result;
hreg 27;HREG_AI5_RES;uint16;1;;Calculated value;Calculated result for AI5;Calculated value;Calculated result;
hreg 28;HREG_AI6_RES;uint16;1;;Calculated value;Calculated result for AI6;Calculated value;Calculated result;
hreg 29;HREG_LTO_N_SPLY;uint16;1;;Heat recovery efficiency n supply;HRC efficiency ratio (supply side);Heat recovery efficiency, supply air;Supply air temperature efficiency. Calculated from outside air-, supply air after heat recovery- and extract air temperature;
hreg 30;HREG_LTO_N_EXT;uint16;1;;Heat recovery efficiency n exhaust;HRC efficiency ratio (ext (removed air) side);Heat recovery efficiency, exhaust air;Extract air temperature efficiency. Calculated from extract air-, exhaust air- and outside air temperature. In HP-units calculated from HRC extract air-, exhaust air- and outside air temperature;
hreg 31;HREG_NTC_X6;int16;10;;Input X6;Optional NTC-10 input X6 measurement;;;
hreg 32;HREG_NTC_X7;int16;10;;Input X7;Optional NTC-10 input X7 measurement;;;
hreg 33;HREG_ABS_HUM_CTRL_OUTPUT;int16;1;;Absolute humidity control output;-100...0% = dehumidifying, 0 = none, 0...100% = humidifying;;;
hreg 34;HREG_NWK_STATUS;bitfield;1;;Network status;Ethernet block status;;;"#define EMAC_STATUS_FAIL 0x0001 
#define EMAC_STATUS_OK  0x0002 
#define EMAC_STATUS_AUTONEG_COMPLETE 0x0004 
#define EMAC_STATUS_AUTONEG_FAIL    0x0008 
#define EMAC_STATUS_LINK_OK         0x0010  /* 0: no link, 1: link ok */ 
#define EMAC_STATUS_LINK_SPEED      0x0020  /* 0: 10 M, 1: 100M */ 
#define EMAC_STATUS_DUPLEX          0x0040  /* 0: half duplex, 1: full duplex */ 
#define EMAC_STATUS_INIT_ONGOING    0x0080   "
hreg 35;HREG_RH_MEAN;uint16;1;;48h air humidity average;Mean relative humidity, with 48 hour history, updated every hour.;Average air humidity, 48h;Extract air 48h mean relative humidity \%RH at the unit (sensor RH30). Updated every hour;
hreg 36;HREG_ABSHUM10;uint16;10;;Supply air absolute humidity;Supply air absolute humidity, calculated from sensors TE10 and RH10, assuming normal atmospheric pressure.;;;
hreg 37;HREG_SEC_RTC;uint16;1;;s;RTC seconds.;s;RTC seconds;
hreg 38;HREG_MIN_RTC;uint16;1;;min;RTC minutes.;min;RTC minutes;
hreg 39;HREG_HOUR_RTC;uint16;1;;h;RTC hours, 24 hour format.;h;RTC hours, 24 hour format;
hreg 40;HREG_DAY_RTC;uint16;1;;;RTC day-of-month;;RTC day of month;
hreg 41;HREG_MONTH_RTC;uint16;1;;;RTC month.;;RTC month;
hreg 42;HREG_YEAR_RTC;uint16;1;;;RTC year, exporessed in years since 2000.;;RTC year, expressed in years since 2000;
hreg 43;Reserved;;;;;;;;
hreg 44;HREG_MODE;bitfield;1;;Status;The current mode of the machine, used to display information to the user.;Status;All current states of unit, eg. Home, Central vacuum cleaner, HP/EDX defrost etc.;Bit 0 indicates Max cooling mode, bit 1: max heating. Bit 2: Machine is stopped due to A alarm. Bit 3 indicates the machine has been stopped by request (ie. not due to alarm condition). Bit 4: indicates Away state. Bit 5 is reserved. Bit 6 indicates temperature boosting, bit 7 CO2 boosting, bit 8 RH boosting, bit 9 manual boosting. Bit 10 overpressure mode, bit 11 cooker hood mode, bit 12 central vacuum cleaner mode. Bit 13 indicates cool-off period of electrical heating coil. Bit 14 indicates summer night cooling mode. Bit 15 indicates heat recovery wheel defrosting mode.  Value 0 indicates “normal” state, no special status is active. 
hreg 45;HREG_EXTMODE;bitfield;1;;Temperature control step;Currently active temperature control step: Cooling, Heat recovery (LTO), or heating.;Temperature controller;"Displays current state of temperature controller; cooling, heat recovery, heating or none.";Bits 0,1,2,3 have “enumerated” meaning:  TEMP_STEP_NONE = 0, TEMP_STEP_COOLING = 1, TEMP_STEP_LTO = 2, TEMP_STEP_HEATING = 4, TEMP_STEP_STARTUP = 7, TEMP_STEP_DEHUMIDIFICATION = 8. Bit 15 indicates Aqua mode, bit 14 indicates pre-heating active, bit 13 indicates that HP compressor effect is being limited, bit 12 indicates defrosting state of the HP or MDX unit
hreg 46;HREG_ROOM_TEMP;int16;10;;Room temperature average;TE20 room temperature, average value calculated from op panel sensors  and room temperature transmitters.;Room temperature average;Room temperature (average temperature of sensors connected to OP wallmounts and AI temperature measurements if connected);
hreg 47;HREG_CASCADE_SP;int16;10;;Setpoint for supply air;Setpoint for temperature controller responsible for maintaining the room supply air at a constant level;Setpoint for supply air;Setpoint for temperature controller responsible for maintaining the room supply air at a constant level;
hreg 48;HREG_DISPLAY_SP;int16;10;;;Temperature controller setpoint shown to user;;;
hreg 49;HREG_OUTPUT;int16;1;;Controller output;Output from the TC1 temperature PI controller;Temperature controller output;-200 to -100 additional cooling, -100...-1=cooling, 0=nothing, 1...100=heat recovery, 101...200=additional heating or heat pump, 201...300=additional heating in heat pump units;
hreg 50;Reserved;;;;;;;;
hreg 51;Reserved;;;;;;;;
hreg 52;Reserved;;;;;;;;
hreg 53;Reserved;;;;;;;;
hreg 54;Reserved;;;;;;;;
hreg 55;Reserved;;;;;;;;
hreg 56;Reserved;;;;;;;;
hreg 57;Reserved;;;;;;;;
hreg 58;Reserved;;;;;;;;
hreg 59;Reserved;;;;;;;;
hreg 60;Reserved;;;;;;;;
hreg 61;Reserved;;;;;;;;
hreg 62;Reserved;;;;;;;;
hreg 63;Reserved;;;;;;;;
hreg 64;Reserved;;;;;;;;
hreg 65;Reserved;;;;;;;;
hreg 66;Reserved;;;;;;;;
hreg 67;Reserved;;;;;;;;
hreg 68;Reserved;;;;;;;;
hreg 69;Reserved;;;;;;;;
hreg 70;Reserved;;;;;;;;
hreg 71;Reserved;;;;;;;;
hreg 72;Reserved;;;;;;;;
hreg 73;Reserved;;;;;;;;
hreg 74;Reserved;;;;;;;;
hreg 75;Reserved;;;;;;;;
hreg 76;Reserved;;;;;;;;
hreg 77;Reserved;;;;;;;;
hreg 78;Reserved;;;;;;;;
hreg 79;Reserved;;;;;;;;
hreg 80;Reserved;;;;;;;;
hreg 81;Reserved;;;;;;;;
hreg 82;Reserved;;;;;;;;
hreg 83;Reserved;;;;;;;;
hreg 84;Reserved;;;;;;;;
hreg 85;Reserved;;;;;;;;
hreg 86;Reserved;;;;;;;;
hreg 87;Reserved;;;;;;;;
hreg 88;Reserved;;;;;;;;
hreg 89;Reserved;;;;;;;;
hreg 90;Reserved;;;;;;;;
hreg 91;Reserved;;;;;;;;
hreg 92;Reserved;;;;;;;;
hreg 93;Reserved;;;;;;;;
hreg 94;Reserved;;;;;;;;
hreg 95;Reserved;;;;;;;;
hreg 96;Reserved;;;;;;;;
hreg 97;Reserved;;;;;;;;
hreg 98;Reserved;;;;;;;;
hreg 99;Reserved;;;;;;;;
hreg 100;Reserved;;;;;;;;
hreg 101;Reserved;;;;;;;;
hreg 102;Reserved;;;;;;;;
hreg 103;Reserved;;;;;;;;
hreg 104;HREG_AI1_TYPE;uint16;1;;Sensor type;Type of external sensor in AI1.;Sensor type;;
hreg 105;HREG_AI2_TYPE;uint16;1;;Sensor type;Type of external sensor in AI2.;Sensor type;;
hreg 106;HREG_AI3_TYPE;uint16;1;;Sensor type;Type of external sensor in AI3.;Sensor type;;
hreg 107;HREG_AI4_TYPE;uint16;1;;Sensor type;Type of external sensor in AI4.;Sensor type;;
hreg 108;HREG_AI5_TYPE;uint16;1;;Sensor type;Type of external sensor in AI5.;Sensor type;;
hreg 109;HREG_AI6_TYPE;uint16;1;;Sensor type;Type of external sensor in AI6.;Sensor type;;
hreg 110;HREG_AI1_VL;uint16;10;0 - 100;Voltage low;AI1 voltage low;Voltage low;Input signal lower limit;
hreg 111;HREG_AI2_VL;uint16;10;0 - 100;Voltage low;AI2 voltage low;Voltage low;Input signal lower limit;
hreg 112;HREG_AI3_VL;uint16;10;0 - 100;Voltage low;AI3 voltage low;Voltage low;Input signal lower limit;
hreg 113;HREG_AI4_VL;uint16;10;0 - 100;Voltage low;AI4 voltage low;Voltage low;Input signal lower limit;
hreg 114;HREG_AI5_VL;uint16;10;0 - 100;Voltage low;AI5 voltage low;Voltage low;Input signal lower limit;
hreg 115;HREG_AI6_VL;uint16;10;0 - 100;Voltage low;AI6 voltage low;Voltage low;Input signal lower limit;
hreg 116;HREG_AI1_VH;uint16;10;0 - 100;Voltage high;AI1 voltage high;Voltage high;Input signal upper limit;
hreg 117;HREG_AI2_VH;uint16;10;0 - 100;Voltage high;AI2 voltage high;Voltage high;Input signal upper limit;
hreg 118;HREG_AI3_VH;uint16;10;0 - 100;Voltage high;AI3 voltage high;Voltage high;Input signal upper limit;
hreg 119;HREG_AI4_VH;uint16;10;0 - 100;Voltage high;AI4 voltage high;Voltage high;Input signal upper limit;
hreg 120;HREG_AI5_VH;uint16;10;0 - 100;Voltage high;AI5 voltage high;Voltage high;Input signal upper limit;
hreg 121;HREG_AI6_VH;uint16;10;0 - 100;Voltage high;AI6 voltage high;Voltage high;Input signal upper limit;
